device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price
2,3,27.94,1,0,12.0,7.0,64.0,4.0,7812.0,468.0,2018,601,5.359835707,6.779603675
2,3,18.01,1,0,8.0,1.2,16.0,2.0,5124.0,299.0,2015,827,4.562680134,5.891809944
0,2,12.83,1,0,21.0,8.0,32.0,4.0,2870.0,150.0,2015,824,4.590969837,5.391215549
0,2,10.16,0,0,5.0,2.0,16.0,4.0,1300.0,119.0,2015,697,3.755369195,4.377767578
23,2,10.16,0,0,5.0,0.3,16.0,4.0,1420.0,110.0,2014,706,3.276389731,4.482889551
23,2,12.7,0,0,8.0,2.0,32.0,4.0,2000.0,156.2,2014,643,3.89324785,5.12942523
23,2,10.34,0,0,8.0,2.0,32.0,4.0,1750.0,98.9,2014,1085,3.971988587,5.079725939
2,3,25.53,1,0,8.0,7.0,64.0,4.0,3969.0,456.0,2019,496,4.937060513,6.310081901
2,3,18.01,1,0,8.0,7.0,64.0,4.0,5124.0,300.5,2019,250,4.794632851,6.110158279
2,3,30.71,1,0,12.0,7.0,1024.0,4.0,9720.0,631.0,2018,543,5.808022363,7.003846972
2,3,27.94,1,0,12.0,7.0,1024.0,4.0,7812.0,468.0,2018,525,6.158968531,6.778898657
2,3,15.37,1,0,12.0,7.0,64.0,4.0,3174.0,208.0,2018,583,5.57059388,7.131154798
2,3,12.9,1,0,12.0,7.0,64.0,4.0,2658.0,177.0,2018,641,5.583458714,7.047795444
2,3,15.27,1,0,12.0,7.0,64.0,4.0,2942.0,194.0,2018,673,5.492649836,6.74521282
2,3,23.04,1,0,8.0,1.2,32.0,4.0,5493.0,469.0,2018,673,4.923478452,5.859075359
2,3,12.9,1,0,12.0,7.0,64.0,4.0,2716.0,174.0,2017,629,4.522114611,6.906754779
2,3,12.83,1,0,12.0,7.0,64.0,4.0,2691.0,202.0,2017,815,5.175414999,6.644830858
2,3,10.34,1,0,12.0,7.0,64.0,4.0,1821.0,148.0,2017,604,5.120684799,6.554659636
2,3,30.71,1,0,12.0,7.0,64.0,4.0,2256.0,677.0,2017,541,5.759185645,6.803094518
2,3,25.53,1,0,12.0,7.0,64.0,4.0,8134.0,469.0,2017,629,5.2907891,6.594071404
2,3,23.04,1,0,8.0,1.2,32.0,4.0,8827.0,469.0,2017,578,4.669458676,5.966505649
2,3,12.83,1,0,12.0,7.0,32.0,4.0,2900.0,188.0,2016,833,4.750568389,6.534979989
2,3,10.34,1,0,12.0,7.0,32.0,4.0,1960.0,138.0,2016,1026,4.68111219,6.309081565
2,3,23.04,1,0,12.0,5.0,32.0,4.0,7306.0,437.0,2016,704,5.37347122,6.535546014
2,3,10.16,1,0,12.0,1.2,16.0,4.0,1624.0,113.0,2016,894,4.437461342,5.707840895
2,3,12.83,1,0,12.0,5.0,16.0,4.0,2750.0,192.0,2015,667,4.633077139,6.152605027
2,3,10.34,1,0,12.0,5.0,16.0,4.0,1715.0,143.0,2015,778,5.170370352,6.217503902
2,3,30.71,1,0,8.0,1.2,32.0,4.0,3937.0,713.0,2015,572,5.558872303,6.744671484
2,3,18.01,1,0,8.0,1.2,16.0,4.0,5124.0,299.0,2015,547,4.463145686,5.886187361
2,3,23.04,1,0,8.0,1.2,16.0,4.0,7340.0,437.0,2014,914,4.591983624,6.086706543
2,3,18.01,1,0,5.0,1.2,16.0,4.0,6470.0,331.0,2014,719,4.37298589,5.991739509
2,3,12.83,1,0,8.0,1.2,16.0,4.0,2915.0,172.0,2014,1082,4.25177557,6.040944949
2,3,10.34,1,0,8.0,1.2,16.0,4.0,1810.0,129.0,2014,877,3.93064847,5.890262042
2,3,23.04,1,0,5.0,1.2,16.0,4.0,8600.0,469.0,2013,995,4.628398312,5.857075644
2,3,18.01,1,0,5.0,1.2,16.0,4.0,6470.0,331.0,2013,945,4.42208834,5.601417468
2,3,10.16,1,0,8.0,1.2,16.0,4.0,1560.0,112.0,2013,1070,3.879706404,5.800031607
2,3,10.16,1,0,8.0,1.2,32.0,4.0,1510.0,132.0,2013,712,4.666359354,5.703148941
23,2,10.16,0,0,5.0,2.0,16.0,4.0,1700.0,150.0,2014,951,3.658162481,4.347693956
23,2,12.7,0,0,8.0,2.0,32.0,4.0,2200.0,139.0,2014,637,4.260000234,5.003610679
23,2,15.14,1,0,16.0,8.0,64.0,4.0,4150.0,195.0,2016,711,5.427853288,6.550308609
9,2,12.7,1,0,4.0,5.0,32.0,4.0,2600.0,160.0,2014,640,4.166355098,5.705181496
9,2,12.7,0,0,4.0,5.0,32.0,4.0,2600.0,160.0,2014,1028,4.736461572,5.70348243
9,2,10.24,1,0,8.0,1.6,32.0,4.0,1800.0,120.0,2013,686,3.764218811,5.142949279
11,2,10.24,0,0,5.0,0.3,32.0,4.0,1700.0,160.0,2013,790,3.585461495,5.014560912
11,2,10.16,0,0,5.0,0.3,16.0,4.0,1950.0,130.0,2013,749,3.829293358,5.07467369
14,2,10.16,0,0,5.0,0.3,32.0,4.0,1950.0,136.0,2014,698,3.84865713,4.263383855
17,2,12.7,0,0,8.0,2.0,32.0,4.0,2000.0,146.5,2014,668,3.891820298,4.800819203
17,2,10.16,0,0,5.0,0.3,32.0,4.0,1500.0,146.5,2014,855,3.749033377,4.366151286
18,2,12.7,1,0,8.0,5.0,16.0,4.0,2000.0,122.0,2016,961,4.033532423,5.008900457
18,2,12.88,1,0,20.0,5.0,32.0,4.0,3340.0,165.0,2015,931,4.959552504,5.85555891
18,2,12.88,1,0,20.0,5.0,32.0,4.0,3340.0,165.0,2015,820,4.910151756,5.853494748
18,2,12.75,1,0,20.0,5.0,32.0,4.0,3000.0,150.0,2015,692,4.844738116,5.632358078
18,2,12.75,1,0,20.0,5.0,32.0,4.0,3000.0,150.0,2015,751,4.684443367,5.635896134
18,2,10.34,1,0,5.0,2.0,32.0,4.0,2100.0,141.9,2015,790,3.818591061,4.498364182
18,2,12.7,0,0,8.0,5.0,32.0,4.0,2200.0,152.0,2015,965,3.964615456,4.611847841
18,2,10.16,0,0,2.0,0.3,32.0,4.0,1500.0,127.9,2015,890,3.385745277,4.237145361
18,2,12.88,1,0,13.0,5.0,32.0,4.0,3000.0,171.0,2015,823,4.428671642,5.306335138
18,2,12.88,1,0,13.0,5.0,32.0,4.0,3000.0,171.0,2015,956,4.195245147,5.297116646
18,2,12.88,0,0,13.0,5.0,32.0,4.0,3000.0,171.0,2015,949,4.249352018,5.130785895
18,2,12.88,0,0,13.0,5.0,32.0,4.0,3000.0,171.0,2015,937,4.458408805,5.143474781
18,2,12.7,1,0,8.0,1.0,32.0,4.0,2500.0,145.0,2015,874,4.248066579,5.019661105
18,2,12.7,1,0,8.0,1.0,32.0,4.0,2500.0,145.0,2015,564,4.277499105,4.786741461
18,2,12.7,0,0,8.0,1.0,32.0,4.0,2500.0,145.0,2015,1017,4.387884444,5.132970914
18,2,10.16,0,0,5.0,0.3,32.0,4.0,1560.0,136.3,2015,1083,3.805773206,4.509870006
18,2,10.16,0,0,5.0,0.3,32.0,4.0,1560.0,136.3,2015,696,3.682358237,4.489871562
18,2,10.16,0,0,2.0,0.3,32.0,4.0,1560.0,134.1,2015,670,3.581015808,4.261834449
18,2,10.16,0,0,2.0,0.3,32.0,4.0,1560.0,134.1,2015,708,3.640214282,4.228438297
18,2,12.7,0,0,5.0,5.0,32.0,4.0,1905.0,146.0,2014,683,3.808438689,4.381026134
18,2,12.7,0,0,5.0,5.0,32.0,4.0,1905.0,146.0,2014,1089,3.930059368,4.382151627
20,2,10.29,1,0,5.0,1.6,32.0,4.0,1830.0,136.0,2014,809,3.66586668,4.602967762
20,2,10.34,0,0,6.7,5.0,32.0,4.0,2200.0,130.0,2014,601,3.8823882,5.134856817
20,2,10.34,1,0,6.7,5.0,32.0,4.0,2200.0,134.0,2014,1045,4.118386557,5.396804313
20,2,12.7,1,0,10.0,0.9,16.0,4.0,2200.0,150.0,2014,679,4.662872896,5.798759266
20,2,10.16,0,0,5.0,1.6,16.0,4.0,1430.0,129.0,2014,1055,3.739572568,4.59764192
20,2,10.16,0,0,5.0,1.6,16.0,4.0,1430.0,129.0,2014,1062,3.535145354,4.602366259
20,2,12.7,1,0,20.0,1.2,32.0,4.0,2420.0,167.0,2014,825,4.489647095,5.915339157
20,2,10.29,1,0,5.0,1.6,32.0,4.0,1830.0,134.0,2014,851,3.835573833,4.707094806
20,2,10.29,0,0,5.0,1.6,32.0,4.0,1830.0,134.0,2014,825,4.209902903,4.949114437
20,2,10.29,0,0,5.0,1.6,32.0,4.0,1830.0,134.0,2014,573,3.988428337,4.7061913
20,2,12.7,1,0,20.0,1.2,32.0,4.0,2420.0,167.0,2014,881,4.759092268,5.989237068
20,2,10.16,0,0,5.0,1.25,32.0,4.0,1430.0,124.0,2013,721,3.516904189,4.789489745
20,2,15.24,1,0,20.0,1.2,16.0,4.0,3400.0,209.0,2013,1052,4.866379938,5.861014118
20,2,15.24,1,0,5.0,0.3,32.0,4.0,3400.0,220.0,2013,817,4.502915952,5.345344072
20,2,25.43,1,0,6.7,2.0,32.0,4.0,1200.0,615.0,2013,1067,4.978318693,5.882430626
20,2,10.34,1,0,5.0,0.3,32.0,4.0,2000.0,159.0,2013,797,4.053001599,5.07072644
20,2,10.29,1,0,41.0,1.2,32.0,4.0,2000.0,158.0,2013,988,5.105096629,5.989287178
20,2,10.29,1,0,8.0,1.3,16.0,4.0,2000.0,139.0,2013,707,4.565077092,5.557407045
20,2,10.29,1,0,8.0,1.3,32.0,4.0,2000.0,162.0,2013,816,4.530231099,5.939881737
20,2,10.24,0,0,6.7,1.3,32.0,4.0,2000.0,128.0,2013,781,4.302712828,5.294208939
20,2,10.16,0,0,5.0,1.25,32.0,4.0,1430.0,124.0,2013,1051,3.583518938,4.237289838
23,2,12.7,0,0,8.0,2.0,32.0,4.0,2000.0,150.0,2014,968,4.383275854,5.123011145
23,2,10.16,0,0,8.0,0.3,16.0,4.0,2000.0,150.0,2014,913,3.873490056,4.520809837
23,2,10.16,0,0,5.0,0.3,16.0,4.0,2500.0,154.0,2015,930,3.740285242,4.089666973
26,2,12.7,1,0,13.0,2.0,16.0,4.0,2600.0,135.8,2014,851,4.673482826,6.090857291
26,2,12.12,1,0,8.0,1.2,16.0,4.0,2000.0,144.0,2013,1080,4.569232079,5.736507779
26,2,10.16,1,0,5.0,1.2,32.0,4.0,2100.0,125.0,2013,713,3.978933711,5.293857436
30,2,10.34,0,0,8.0,2.0,32.0,4.0,1800.0,100.0,2014,669,3.605497845,4.800654729
2,3,10.34,1,0,12.0,7.0,64.0,3.0,1821.0,148.0,2020,235,5.011901159,5.87535199
2,3,15.37,1,0,8.0,7.0,64.0,4.0,3969.0,226.0,2019,298,5.34046648,6.734175402
2,3,12.9,1,0,8.0,7.0,64.0,4.0,3046.0,188.0,2019,351,5.440164091,6.713745682
2,3,15.27,1,0,8.0,7.0,64.0,4.0,3110.0,194.0,2019,208,5.100902476,6.287932907
